item_id,order_id,product_id,quantity,unit_price
1,1,34,2,270.74
2,2,49,5,145.97
3,2,11,2,488.77
4,2,96,3,60.93
5,3,94,5,53.86
6,3,84,2,47.4
7,4,48,1,432.74
8,4,21,1,79.89
9,4,98,2,250.1
10,5,51,5,225.79
11,5,71,3,341.65
12,5,42,2,222.27
13,6,17,3,450.21
14,6,86,3,47.35
15,6,47,3,279.86
16,6,29,4,175.47
17,7,2,5,146.59
18,7,93,3,154.26
19,8,59,3,263.75
20,8,35,4,493.88
21,9,39,1,249.24
22,9,43,5,147.8
23,10,94,1,53.86
24,10,30,4,190.37
25,10,34,3,270.74
26,11,74,5,496.33
27,11,34,5,270.74
28,11,96,1,60.93
29,12,60,3,404.45
30,12,6,3,354.99
31,12,20,1,334.12
32,12,64,5,105.96
33,13,88,3,83.58
34,13,76,5,44.7
35,14,54,5,26.43
36,14,22,2,412.92
37,14,26,1,274.94
38,14,69,3,247.47
39,15,73,5,256.35
40,16,15,4,282.18
41,17,27,4,339.74
42,17,78,1,176.96
43,17,19,1,366.94
44,17,25,1,125.55
45,18,85,5,89.88
46,18,65,2,436.93
47,19,6,5,354.99
48,19,35,3,493.88
49,19,78,1,176.96
50,20,83,5,474.25
51,20,100,2,466.74
52,21,43,4,147.8
53,21,31,3,287.98
54,21,43,3,147.8
55,21,41,5,345.81
56,22,45,1,227.83
57,22,91,2,358.89
58,22,56,3,140.75
59,23,71,4,341.65
60,23,55,3,432.75
61,23,35,4,493.88
62,23,20,2,334.12
63,24,91,5,358.89
64,24,62,2,468.34
65,24,47,3,279.86
66,25,86,4,47.35
67,26,81,1,274.08
68,26,19,2,366.94
69,27,16,5,396.82
70,27,77,2,54.74
71,28,70,4,320.01
72,28,86,3,47.35
73,29,84,5,47.4
74,30,14,4,359.56
75,30,14,1,359.56
76,30,23,1,148.26
77,30,65,5,436.93
78,31,60,5,404.45
79,32,67,5,370.76
80,32,19,4,366.94
81,32,72,3,23.73
82,32,81,1,274.08
83,33,7,1,157.65
84,33,54,5,26.43
85,34,61,4,486.78
86,34,81,1,274.08
87,34,42,4,222.27
88,34,39,4,249.24
89,35,95,1,233.37
90,35,20,4,334.12
91,35,2,5,146.59
92,35,22,1,412.92
93,36,40,5,302.43
94,36,59,5,263.75
95,37,48,5,432.74
96,37,86,2,47.35
97,37,28,2,360.37
98,37,39,2,249.24
99,38,66,5,235.64
100,39,43,4,147.8
101,39,94,2,53.86
102,39,92,2,131.79
103,40,88,5,83.58
104,40,30,3,190.37
105,40,45,2,227.83
106,41,72,2,23.73
107,41,27,3,339.74
108,41,91,4,358.89
109,41,8,4,259.02
110,42,40,4,302.43
