return_id,order_id,return_date,reason
1,6,2025-01-02,Opportunity reflect camera start.
2,12,2024-08-30,Language hold three hear name.
3,15,2024-09-30,Whatever reality middle car assume.
4,16,2024-10-05,Without amount million share though dark cover.
5,22,2024-09-02,Old security feel manager.
6,23,2024-09-08,Act young business adult message almost.
7,35,2025-03-07,Generation task report prove.
8,37,2025-03-20,Window support hospital light direction when.
9,39,2025-05-24,Community stock environment choose husband career purpose.
10,41,2024-11-11,Appear evening group purpose change.
11,48,2025-06-06,Mr commercial design nearly while for.
12,50,2025-04-28,Try material crime ground.
13,52,2025-02-15,Prove nice pick customer painting popular article.
14,54,2025-01-17,Media generation experience exactly responsibility sea all.
15,55,2024-08-13,Believe door behind together matter very serious.
16,57,2024-07-15,Management television provide thing star music pass part.
17,58,2025-03-15,Ask place true agree accept.
18,60,2025-04-22,Peace treat suddenly maintain.
19,61,2025-01-31,Deal sometimes program toward.
20,63,2025-04-09,Street phone happy region approach sea.
21,67,2024-10-04,Tell response source state property kind respond.
22,72,2025-01-14,Increase staff recently than food particular.
23,75,2025-06-01,Member very fly interest parent magazine inside seat.
24,79,2024-08-06,Back heavy notice suddenly.
25,87,2024-08-19,Capital keep early specific.
26,89,2025-04-13,After seat describe threat material talk at leave.
27,90,2025-03-13,Billion suffer place likely situation event.
28,91,2024-11-10,Step dinner recognize thousand city sense.
29,102,2024-09-30,Yourself stay husband and three.
30,105,2024-08-30,Same agent do quality cold ability chair.
31,106,2024-12-08,Their tonight type local majority traditional night.
32,108,2024-12-22,Believe statement doctor.
33,112,2024-11-10,Child blue answer decide great agree consider.
34,116,2024-07-29,Face us sea eye do sing.
35,117,2025-03-15,Energy save like thought.
36,118,2025-01-19,Player inside dark analysis.
37,119,2024-08-05,Attorney black small go.
38,122,2024-10-31,Simple eat bit begin reduce popular.
39,125,2024-11-28,Business notice mission.
40,126,2025-03-02,With social buy.
41,133,2024-11-17,Relate none body.
42,135,2024-09-19,Lose reach local hand hot range value.
43,136,2024-11-25,Main few tree drop trial.
44,138,2025-05-18,Outside lose since social program car lose.
45,142,2024-09-19,Million you including amount.
46,143,2025-02-05,Believe continue discussion play long continue.
47,144,2025-03-04,Interesting art million section strong.
48,145,2025-02-11,Behavior ability standard other owner.
49,148,2025-02-07,Candidate leader instead common.
50,150,2024-07-26,Agree good travel stock project.
51,151,2024-08-04,Everything nor attention dark.
52,155,2024-09-12,Travel notice camera.
